Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
2;Adamselv;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Finnmark;56;Lebesby;24;1973;1973;50;196,366;200;30,19;0,46;4;229.3Z;ja;1973-01-01;[object Object],[object Object],[object Object];Idrift;;;Friarfjordelva;01;893;nei;;12;NVE - område: 12;
1268;Aga;Kraftverk;K;;;Vestland;46;Voss;21;2007;2007;0,05;0,255;;;;5;052.1B;ja;2007-01-01;[object Object];Idrift;;;Granvinvassdraget;;999;nei;;6;NVE - område: 6;
1527;Aklestad;Kraftverk;K;HÅVARD AKLESTAD;988117722;Møre og Romsdal;15;Ørsta;20;2008;2008;0,0115;0,012;;;;3;097.1Z;ja;2008-01-01;[object Object];Idrift;;;Bondalselva;;999;nei;;8;NVE - område: 8;
1677;Akslandselva;Kraftverk;K;AKSLANDSELVA KRAFTVERK AS;991005625;Vestland;46;Etne;11;2013;2013;1,7;4,479;332,5;0,67;0,705;2;042.11Z;ja;2013-07-15;[object Object];Idrift;;;Akslandselva;;999;nei;;5;NVE - område: 5;
2054;Ala;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Innlandet;34;Vang;54;2022;2022;5,8;18,6;346,8;1,92;0,839;1;012.N2A;ja;2022-09-27;[object Object];Idrift;;;Drammensvassdraget;;043;nei;;1;NVE - område: 1;
938;Alnes Vannbehandlingsanlegg;Kraftverk;K;GISKE KOMMUNE;964980721;Møre og Romsdal;15;Giske;32;1997;1997;0,06;0,18;;;;3;101.72;ja;1997-01-01;;Idrift;;;KYSTFELT;;999;nei;;8;NVE - område: 8;
1689;Alsaker;Kraftverk;K;ALSAKER KRAFT AS;990843805;Vestland;46;Kvinnherad;17;2009;2009;1,2;2,855;157;0,95;0,351;2;042.62Z;ja;2009-03-17;[object Object];Idrift;;;Fatlandselva;;999;nei;;5;NVE - område: 5;
3;Alta;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Finnmark;56;Alta;01;1987;1987;150;738,287;185;96,01;0,433;4;212.B6;ja;1987-05-21;[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Altavassdraget;01;853;nei;;12;NVE - område: 12;
808;Andåsfossen;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Vefsn;24;1908;2001;2;7,282;;4,7;0,118;4;151.A21A1;ja;2001-02-14;[object Object];Idrift;;;Vefsna;01;635;nei;;10;NVE - område: 10;
1929;Anga;Kraftverk;K;ANGA KRAFT AS;911605384;Vestland;46;Sunnfjord;47;2019;2019;7,8;21,844;56;16,2;0,134;3;084.AA0;ja;2019-07-01;[object Object],[object Object];Idrift;;;Jølstra;;346;nei;;13;NVE - område: 13;
626;Angvik;Kraftverk;K;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Gjemnes;57;1990;1990;1,1;2,872;56;2,41;0,127;3;109.1Z;ja;1990-01-01;[object Object],[object Object];Idrift;;;Angvikelva;01;447;nei;;8;NVE - område: 8;
5;Ardalen;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Vaksdal;28;1954;1954;2,5;11,13;120;2,29;0,289;5;061.4B0;ja;1954-01-01;[object Object];Idrift;;;Vaksdalsvassdraget;02;251;nei;;6;NVE - område: 6;
6;Arna;Kraftverk;K;ARNA KRAFTSELSKAP AS;910267299;Vestland;46;Bergen;01;1934;2018;0,8;2,834;61;1,6;0,139;5;061.1A;ja;2018-08-27;;Idrift;;;Ytre arnaelva;01;248;nei;;6;NVE - område: 6;
817;Arneselv;Kraftverk;K;BALLANGEN UTVIKLING AS;923093508;Nordland;18;Narvik;06;2004;2004;2,4;8,296;412,8;0,7;0,952;4;173.2Z;ja;2004-09-08;[object Object];Idrift;;;Åga;;999;nei;;11;NVE - område: 11;
1160;Arstadfossen;Kraftverk;K;ARSTADFOSSEN KRAFTVERK AS;984735545;Nordland;18;Beiarn;39;2003;2003;1;3,565;24;5;0,056;4;161.AA32;ja;2003-12-01;[object Object];Idrift;;;Beiarelva;21;634;nei;;10;NVE - område: 10;
1413;Ask Kraft;Kraftverk;K;ASK Opstvedt;866927472;Rogaland;11;Vindafjord;60;2007;2007;0,195;0,477;140;0,24;;2;041.33A;ja;2007-08-10;[object Object];Idrift;;;Gjerdesvikbekken;;999;nei;;5;NVE - område: 5;
7;Askerudfoss;Kraftverk;K;VIUL KRAFT AS;961113539;Buskerud;33;Ringerike;05;1946;1946;13,2;76,759;20,6;76,38;0,048;1;012.EA6;ja;1946-07-01;[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Drammensvassdraget;08;043;nei;;1;NVE - område: 1;
986;Aspenes;Kraftverk;K;ASPENES MIKROKRAFT J,M. Aspenes;988625035;Vestland;46;Bjørnafjorden;24;2005;2005;0,055;0,09;;;;5;055.60;ja;2005-01-01;;Idrift;;;KYSTFELT;;999;nei;;6;NVE - område: 6;
1289;Aunbekken;Kraftverk;K;INGE KVAAL;988709220;Trøndelag;50;Stjørdal;35;2002;2002;0,018;0,083;;;;3;124.C4;ja;2002-01-01;[object Object];Idrift;;;Stjørdalsvassdraget;;999;nei;;9;NVE - område: 9;
8;Aunfoss;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Grong;45;1959;1959;29,54;194,698;28,5;129,92;0,061;3;139.D2;ja;1959-06-05;[object Object],[object Object];Idrift;;;Namsen;26;579;nei;;9;NVE - område: 9;
9;Aura;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Sunndal;63;1955;1955;290;1754,149;783;46;1,751;3;109.5A1;ja;1955-06-24;[object Object],[object Object],[object Object];Idrift;;;Litledalselva;01;448;nei;;8;NVE - område: 8;
1019;Aurdal;Kraftverk;K;;;Rogaland;11;Vindafjord;60;2002;2002;0,02;0,033;40;;;2;038.5C;ja;2002-01-01;;Idrift;;;Åmselva;;999;nei;;5;NVE - område: 5;
