12852: Kommunefordelt månedslønn, etter region, statistikkmål, arbeidssted/bosted, kjønn, alder, avtalt/vanlig arbeidstid per uke, statistikkvariabel og år;;;;;;;;
;;;;;;;;
;;;;;;Månedslønn (kr);;
;;;;;;2022;2023;2024
3101 Halden;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;55120
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;55470
3103 Moss;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;54960
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;58280
3105 Sarpsborg;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;55990
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;54260
3107 Fredrikstad;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;53570
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;56710
3110 Hvaler;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;51250
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;59290
3112 Råde;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;51800
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;55790
3114 Våler (Østfold);Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;50630
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;55650
3116 Skiptvet;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;49420
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;53250
3118 Indre Østfold;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;51310
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;53520
3120 Rakkestad;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;51250
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;52480
3122 Marker;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;51710
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;53220
3124 Aremark;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;50610
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;52180
3201 Bærum;Gjennomsnitt;Arbeider i regionen;Begge kjønn;I alt;I alt;.;.;71560
;;Bor i regionen;Begge kjønn;I alt;I alt;.;.;76170
